,rno-miR-200b-3p,rno-miR-221-3p,rno-miR-200a-3p,rno-let-7c-5p,rno-miR-429,rno-miR-365-3p,rno-miR-27a-3p,rno-miR-205,rno-miR-23a-3p,rno-miR-24-3p,rno-miR-148a-3p,rno-let-7b-5p
Slc20a1,0,0,0,1,0,0,0,0,0,0,0,1
Dnajb9,1,0,0,0,1,0,0,0,0,0,0,0
Ubxn8,0,0,0,0,0,0,0,0,1,0,0,0
Myh10,0,0,1,0,0,0,0,0,0,0,0,0
Cmtm7,0,0,0,0,0,0,0,0,0,1,0,0
Vsig10,0,0,0,0,0,0,1,0,0,0,0,0
Tnrc18,0,0,0,0,0,0,1,0,0,0,0,0
Masp1,0,0,0,1,0,0,0,0,0,0,0,1
Ppargc1b,0,0,0,1,0,0,0,0,0,0,0,1
Ckap4,1,0,0,0,1,0,1,0,0,0,0,0
Ebf2,0,0,0,0,0,0,0,1,0,0,0,0
Pdia6,0,0,0,0,0,0,0,0,1,0,0,0
Atpaf1,0,1,0,0,0,0,0,0,0,0,0,0
Zfyve26,0,0,0,1,0,0,0,0,0,0,1,1
Gatm,0,0,0,1,0,0,0,0,0,0,0,1
RGD1306941,0,0,1,0,0,0,0,0,0,0,0,0
Plcxd2,0,0,0,0,0,0,1,0,0,0,0,0
Pax9,0,0,0,0,0,0,1,0,1,0,0,0
Ebf3,0,0,0,0,0,0,0,0,1,0,0,0
Plaa,0,0,0,0,0,0,0,0,0,0,1,0
Ptpn12,1,0,0,0,1,0,0,0,0,0,0,0
Tmem168,0,0,1,0,0,0,0,0,1,0,0,0
Vstm5,0,0,0,1,0,0,0,0,1,0,0,1
Dgcr8,0,0,0,0,0,0,0,1,0,0,1,0
Nr1d2,0,0,0,0,0,1,1,0,0,0,0,0
Grin2d,0,0,0,0,0,0,1,0,0,0,0,0
Tgfbr3,0,0,0,0,0,0,0,0,1,0,0,0
Slc19a2,1,0,1,0,1,0,0,1,0,0,0,0
Rnf38,0,0,0,0,0,0,0,0,0,0,1,0
Tent4b,1,0,0,0,1,0,0,0,0,0,0,0
Rnf146,0,0,0,0,0,0,0,0,1,0,0,0
Trmt6,0,0,0,0,0,0,0,0,0,1,0,0
Rpusd3,0,0,0,1,0,0,0,0,0,0,0,1
Cdc40,0,0,0,0,0,0,0,0,1,0,0,0
B3galt4,0,0,0,1,0,0,0,0,0,0,0,1
Meox2,0,0,0,0,0,0,0,0,0,0,1,0
Dusp3,0,0,1,0,0,0,0,0,0,0,0,0
Ints2,0,0,0,1,0,0,0,0,0,0,0,1
Rtf1,1,0,0,0,1,0,0,0,0,0,0,0
Nck2,1,0,0,0,1,0,0,0,0,0,0,0
Eloc,1,0,0,0,1,0,0,0,0,0,0,0
Ankrd40,1,0,0,0,1,0,0,0,0,0,0,0
Limd2,0,0,0,1,0,0,0,0,0,0,0,1
Zfp583,0,0,0,1,0,0,0,0,0,0,0,1
Ndst2,0,0,0,1,0,0,0,0,0,0,0,1
Entpd5,0,0,0,0,0,0,0,0,1,0,0,0
Faslg,0,0,0,1,0,0,0,0,0,1,0,1
Car5b,0,0,1,0,0,0,0,0,0,0,0,0
Mbd6,0,0,0,0,0,0,0,0,0,1,0,0
Foxj3,0,0,1,0,0,0,0,0,0,0,0,0
Pcdhb6,0,0,1,0,0,0,0,0,0,0,0,0
Snn,0,0,0,1,0,0,0,0,0,0,1,1
Aqp11,0,0,0,0,0,0,1,0,0,0,0,0
Gfer,0,0,0,0,0,0,0,0,0,1,0,0
Meis2,0,0,0,0,0,0,0,0,1,0,0,0
Zfp282,0,0,0,1,0,0,0,0,0,0,0,1
Gtpbp3,0,0,0,0,0,0,0,0,0,1,0,0
Dr1,0,0,1,0,0,0,0,0,0,0,0,0
Eif3a,0,0,0,0,0,0,0,0,1,0,0,0
Npepl1,0,0,0,0,0,0,0,0,0,0,1,0
Rtn4rl1,0,0,1,0,0,0,0,0,0,0,0,0
H2afx,0,0,0,0,0,0,0,0,0,1,0,0
Plekha8,0,0,0,1,0,0,0,0,0,0,0,1
Prr9,0,0,0,0,0,0,1,0,0,0,0,0
Fbxo9,0,0,0,0,0,0,1,0,0,0,0,0
Tmem198b,0,0,0,1,0,0,0,0,0,0,0,0
Wnk1,0,0,0,0,0,0,0,0,1,0,0,0
Nsun6,1,0,0,0,1,0,0,0,1,0,0,0
Rfx6,0,0,0,1,0,0,0,0,0,0,0,1
Nptx1,1,0,0,0,1,0,0,0,0,0,1,0
Tmem243,0,0,0,0,0,0,1,0,0,0,0,0
Prdm1,1,0,0,0,1,0,0,0,0,0,0,0
